key,fullName,email,passportNumber,dateOfBirth,specialNeeds,published,key:customer
passenger-35,Alberto,correo@gmail.esx,AVS23924,2002/12/05 23:59,โลเร็ม อิปซัม,false,customer-02
passenger-36,Alberto,correo@gmail.esx,AVS23924,2002/12/05 23:59,لوريم إيبسوم,false,customer-02
passenger-37,Alberto,correo@gmail.esx,AVS23924,2002/12/05 23:59,洛伦·伊普森,false,customer-02
passenger-38,Alberto,correo@gmail.esx,AVS23924,2002/12/05 23:59,<marquee>Hacked</marquee>,false,customer-02
passenger-39,Alberto,correo@gmail.esx,AVS23924,2002/12/05 23:59,<script>alert(‘Hacked!’);</script>,false,customer-02
passenger-40,Alberto,correo@gmail.esx,AVS23924,2002/12/05 23:59,' or 'A' = 'A,false,customer-02
# published variations
passenger-41,Alberto,correo@gmail.esx,AVS23924,2002/12/05 23:59,Necesidades especiales,true,customer-02
# customer variations
passenger-42,Alberto,correo@gmail.esx,AVS23924,2002/12/05 23:59,Necesidades especiales,false,customer-01
# extra customer data
passenger-43,Publicado,correo@gmail.esx,AVS23924,2002/12/05 23:59,Necesidades especiales,true,customer-01
passenger-44,No publicado,correo@gmail.esx,AVS23924,2002/12/05 23:59,Necesidades especiales,true,customer-01
passenger-45,Publicado,correo@gmail.esx,AVS23924,2002/12/05 23:59,Necesidades especiales,true,customer-02
passenger-46,No publicado,correo@gmail.esx,AVS23924,2002/12/05 23:59,Necesidades especiales,false,customer-02
passenger-47,Publicado 2,correo@gmail.esx,AVS23924,2002/12/05 23:59,Necesidades especiales,true,customer-01
passenger-48,Publicado 3,correo@gmail.esx,AVS23924,2002/12/05 23:59,Necesidades especiales,true,customer-01
passenger-49,Publicado 4,correo@gmail.esx,AVS23924,2002/12/05 23:59,Necesidades especiales,true,customer-01
passenger-50,No Publicado 2,correo@gmail.esx,AVS23924,2002/12/05 23:59,Necesidades especiales,true,customer-01
passenger-51,No Publicado 3,correo@gmail.esx,AVS23924,2002/12/05 23:59,Necesidades especiales,true,customer-01
